ID,RNA_CoExp_w_GenAge
ACYP2_HUMAN,39
ADA10_HUMAN,46
ADA11_HUMAN,15
ADA12_HUMAN,27
ADA15_HUMAN,53
ADA17_HUMAN,43
ADA18_HUMAN,2
ADA19_HUMAN,23
ADA1A_HUMAN,15
ADA1B_HUMAN,12
ADA1D_HUMAN,11
ADA20_HUMAN,7
ADA21_HUMAN,4
ADA22_HUMAN,16
ADA23_HUMAN,19
ADA28_HUMAN,13
ADA29_HUMAN,0
ADA2A_HUMAN,42
ADA2B_HUMAN,18
ADA2C_HUMAN,32
ADA30_HUMAN,0
ADA32_HUMAN,3
ADA33_HUMAN,37
ADAD1_HUMAN,19
ADAD2_HUMAN,7
ADAL_HUMAN,24
ADAM2_HUMAN,0
ADAM5_HUMAN,0
ADAM7_HUMAN,0
ADAM8_HUMAN,35
ADAM9_HUMAN,52
ADAP1_HUMAN,18
ADAP2_HUMAN,17
ADAS1_HUMAN,1
ADAS_HUMAN,39
ADAT1_HUMAN,26
ADAT2_HUMAN,45
ADAT3_HUMAN,36
ADA_HUMAN,49
ADCK1_HUMAN,2
ADCK2_HUMAN,51
ADCK5_HUMAN,22
ADCL2_HUMAN,8
ADCL3_HUMAN,0
ADCL4_HUMAN,8
ADCY1_HUMAN,15
ADCY2_HUMAN,8
ADCY3_HUMAN,45
ADCY4_HUMAN,33
ADCY5_HUMAN,29
ADCY6_HUMAN,55
ADCY7_HUMAN,30
ADCY8_HUMAN,3
ADCY9_HUMAN,35
ADCYA_HUMAN,3
ADDA_HUMAN,36
ADDB_HUMAN,33
ADDG_HUMAN,25
ADEC1_HUMAN,16
ADGB_HUMAN,3
ADH1A_HUMAN,24
ADH1B_HUMAN,46
ADH1G_HUMAN,23
ADH4_HUMAN,23
ADH6_HUMAN,26
ADH7_HUMAN,10
ADHX_HUMAN,54
ADIG_HUMAN,4
ADIPL_HUMAN,7
ADIPO_HUMAN,41
ADIP_HUMAN,13
ADIRF_HUMAN,
ADK_HUMAN,56
ADM2_HUMAN,17
ADM5_HUMAN,6
ADML_HUMAN,47
ADNP2_HUMAN,43
ADNP_HUMAN,56
ADPGK_HUMAN,27
ADPPT_HUMAN,49
ADPRH_HUMAN,45
ADPRM_HUMAN,9
ADR1_HUMAN,33
ADR2_HUMAN,57
ADRB1_HUMAN,23
ADRB2_HUMAN,28
ADRB3_HUMAN,4
ADRM1_HUMAN,64
ADRO_HUMAN,26
ADSV_HUMAN,18
ADT1_HUMAN,24
ADT2_HUMAN,52
ADT3_HUMAN,
ADT4_HUMAN,3
ADTRP_HUMAN,2
ADX_HUMAN,25
AEBP1_HUMAN,36
AEBP2_HUMAN,27
AEDO_HUMAN,15
AEGP_HUMAN,9
AEN_HUMAN,43
AES_HUMAN,56
AF10_HUMAN,26
AF17_HUMAN,43
AF1L1_HUMAN,26
AF1L2_HUMAN,28
AF1Q_HUMAN,20
AF9_HUMAN,48
AFAD_HUMAN,
AFAM_HUMAN,27
AFAP1_HUMAN,47
AFAS1_HUMAN,
AFF1_HUMAN,53
AFF2_HUMAN,11
AFF3_HUMAN,7
AFF4_HUMAN,48
AFG32_HUMAN,60
AFTIN_HUMAN,52
AG10A_HUMAN,14
AG10B_HUMAN,
AG1L2_HUMAN,
AGA11_HUMAN,
AGAL_HUMAN,36
AGAP1_HUMAN,30
AGAP2_HUMAN,19
AGAP3_HUMAN,34
AGAP4_HUMAN,2
AGAP5_HUMAN,
AGAP6_HUMAN,
AGAP7_HUMAN,
AGAP9_HUMAN,6
AGFG1_HUMAN,30
AGFG2_HUMAN,15
AGGF1_HUMAN,47
AGIT1_HUMAN,
AGK_HUMAN,24
AGM1_HUMAN,46
AGO1_HUMAN,29
AGO2_HUMAN,32
AGO3_HUMAN,29
AGO4_HUMAN,39
AGP14_HUMAN,
AGR2_HUMAN,14
AGR3_HUMAN,12
AGRA1_HUMAN,
AGRA2_HUMAN,
AGRA3_HUMAN,
AGRB2_HUMAN,
AGRB3_HUMAN,
AGRD1_HUMAN,
AGRD2_HUMAN,
AGRE1_HUMAN,
AGRE2_HUMAN,
AGRE3_HUMAN,
AGRE4_HUMAN,
AGRF1_HUMAN,
AGRF2_HUMAN,
AGRF3_HUMAN,
AGRF4_HUMAN,
AGRF5_HUMAN,
AGRG1_HUMAN,
AGRG2_HUMAN,
AGRG3_HUMAN,
AGRG4_HUMAN,
AGRG5_HUMAN,
AGRG6_HUMAN,
AGRG7_HUMAN,
AGRIN_HUMAN,52
AGRL1_HUMAN,
AGRL2_HUMAN,
AGRL3_HUMAN,
AGRL4_HUMAN,
AGRP_HUMAN,7
AGT2_HUMAN,19
AGTR1_HUMAN,42
AGTR2_HUMAN,23
AHDC1_HUMAN,47
AHI1_HUMAN,7
AHNK2_HUMAN,28
AHNK_HUMAN,37
AHRR_HUMAN,36
AHR_HUMAN,56
AHSA1_HUMAN,35
AHSA2_HUMAN,24
AHSP_HUMAN,38
AICDA_HUMAN,44
AIDA_HUMAN,13
AIF1L_HUMAN,21
AIF1_HUMAN,38
AIFM1_HUMAN,48
AIFM2_HUMAN,41
AIFM3_HUMAN,6
AIG1_HUMAN,40
AIM1L_HUMAN,9
AIM1_HUMAN,34
AIM2_HUMAN,36
AIMP1_HUMAN,44
AIMP2_HUMAN,53
AINX_HUMAN,23
AIPL1_HUMAN,3
AIP_HUMAN,64
AIRE_HUMAN,1
AJAP1_HUMAN,15
AJUBA_HUMAN,47
AK17A_HUMAN,
AK1A1_HUMAN,19
AK1BA_HUMAN,17
AK1BF_HUMAN,2
AK1C1_HUMAN,42
AK1C2_HUMAN,39
AK1C3_HUMAN,36
AK1C4_HUMAN,22
AK1D1_HUMAN,20
AKA10_HUMAN,42
AKA11_HUMAN,30
AKA12_HUMAN,31
AKA28_HUMAN,3
AKA7A_HUMAN,18
AKA7G_HUMAN,18
AKAI1_HUMAN,
AKAP1_HUMAN,14
AKAP2_HUMAN,15
AKAP3_HUMAN,9
AKAP4_HUMAN,9
AKAP5_HUMAN,6
AKAP6_HUMAN,21
AKAP8_HUMAN,20
AKAP9_HUMAN,31
AKCL1_HUMAN,
AKCL2_HUMAN,7
AKD1A_HUMAN,12
AKD1B_HUMAN,1
AKIB1_HUMAN,56
AKIP1_HUMAN,28
AKIP_HUMAN,37
AKIR1_HUMAN,39
AKIR2_HUMAN,26
AKNA_HUMAN,30
AKND1_HUMAN,9
AKP13_HUMAN,42
AKP8L_HUMAN,38
AKT1_HUMAN,72
AKT2_HUMAN,46
AKT3_HUMAN,21
AKTIP_HUMAN,22
AKTS1_HUMAN,58
AL14E_HUMAN,25
AL1A1_HUMAN,31
AL1A2_HUMAN,15
AL1A3_HUMAN,29
AL1B1_HUMAN,43
AL1L1_HUMAN,38
AL1L2_HUMAN,34
AL2CL_HUMAN,13
AL2SA_HUMAN,0
